subject,run,state,di,latency,enhancement,n_spikes
sub-01,run-03,EO,-0.08474576213731687,2.0000000000001683,7.1428555729987755,100
sub-01,run-03,EC,-0.18918918802337475,2.0000000000001683,7.894734473684921,57
sub-01,run-01,EO,-0.10609480754971488,2.0000000000001683,8.09858983262286,602
sub-01,run-01,EC,-0.04950495011861592,2.0000000000001683,4.276314709141546,192
sub-01,run-02,EO,-0.031249999787109257,2.0000000000001683,5.263156888273507,109
sub-01,run-02,EC,-0.02941176448788933,2.0000000000001683,4.710144067422968,126
sub-02,run-03,EC,0.11999999916480004,2.0000000000001683,9.459455010958996,174
sub-02,run-01,EO,-0.29629629317969824,2.0000000000001683,6.818178884298782,142
sub-02,run-01,EC,-7.421224051539372e-17,2.0000000000001683,7.5757532598739,94
sub-02,run-02,EC,0.04166666610416674,2.0000000000001683,7.3529376730120495,162
sub-02,run-23,EO,0.07086614096000995,2.0000000000001683,3.6585350416425304,346
sub-03,run-03,EO,0.0,18.00000000000018,3.921567320261873,85
sub-03,run-03,EC,0.1999999966133334,2.0000000000001683,7.89473156510048,127
sub-03,run-01,EO,-0.05882352882006925,2.0000000000001683,3.409090025826675,171
sub-03,run-01,EC,0.06896551636623081,2.0000000000001683,3.804346304348435,184
sub-03,run-02,EO,0.09090908983140494,2.0000000000001683,4.166665251736592,163
sub-04,run-01,EO,-0.12195121800118978,2.0000000000001683,3.448274351962611,127
sub-04,run-01,EC,-0.03225806413943809,2.0000000000001683,5.063288819100566,181
sub-05,run-01,EO,0.033557046739335995,2.0000000000001683,3.024910457187835,267
sub-05,run-01,EC,-0.19999999772800003,6.000000000000172,3.7499986687504716,71
sub-06,run-03,EO,-0.3676470557093426,2.0000000000001683,4.722220711111594,288
sub-06,run-03,EC,-0.2596153820641643,2.0000000000001683,6.060603379248201,511
sub-06,run-01,EO,0.16666666344444458,2.0000000000001683,5.161287618731906,406
sub-06,run-01,EC,-0.13888888753472223,2.0000000000001683,8.273377116610982,351
sub-06,run-02,EO,-0.21568627220915035,2.0000000000001683,5.327866476754619,272
sub-06,run-02,EC,-0.1891891871234479,2.0000000000001683,5.737702067993889,303
sub-07,run-01,EO,0.10851418939400949,2.0000000000001683,3.013992714784345,1274
sub-07,run-01,EC,0.1272015643917571,2.0000000000001683,6.151033568121728,1171
sub-08,run-01,EO,0.39999998256000074,14.00000000000018,4.166662881947882,109
sub-08,run-01,EC,-0.025641025333333328,2.0000000000001683,3.846152857143112,117
